source,target
Protein_FRG1,Protein_EFTUD2
Protein_FRG1,Protein_CDC5L
Protein_FRG1,Protein_GNMT
Protein_FRG1,Protein_PPWD1
Protein_TRAK1,Protein_CDC5L
Protein_MYC,Protein_AURKB
Protein_MYC,Protein_CDC5L
Protein_MYC,Protein_CHD4
Protein_MYC,Protein_CTR9
Protein_MYC,Protein_DCK
Protein_MYC,Protein_DCTN1
Protein_MYC,Protein_DDX39B
Protein_MYC,Protein_EFTUD2
Protein_MYC,Protein_HNRNPH1
Protein_MYC,Protein_KIF20A
Protein_MYC,Protein_KRAS
Protein_MYC,Protein_LMNB2
Protein_MYC,Protein_MYC
Protein_MYC,Protein_P4HB
Protein_MYC,Protein_PLAA
Protein_MYC,Protein_PPP1CB
Protein_MYC,Protein_PRC1
Protein_MYC,Protein_PRPF31
Protein_MYC,Protein_RNF31
Protein_MYC,Protein_RNF4
Protein_MYC,Protein_SEC16A
Protein_MYC,Protein_SMAD4
Protein_MYC,Protein_SMARCA5
Protein_MYC,Protein_TOP2A
Protein_MYC,Protein_TRIP6
Protein_MYC,Protein_TUBG1
Protein_MYC,Protein_YWHAE
Protein_COG3,Protein_CTR9
Protein_COG3,Protein_COG3
Protein_RTN4,Protein_RNF4
Protein_RTN4,Protein_TERF1
Protein_RTN4,Protein_ARL6IP5
Protein_RTN4,Protein_NUS1
Protein_RTN4,Protein_PRR13
Protein_RTN4,Protein_RTN4
Protein_RTN4,Protein_TMEM128
Protein_PDE7A,Protein_DCK
Protein_EFTUD2,Protein_BRI3BP
Protein_EFTUD2,Protein_CDC5L
Protein_EFTUD2,Protein_CHD4
Protein_EFTUD2,Protein_DCTN1
Protein_EFTUD2,Protein_DDX39B
Protein_EFTUD2,Protein_EFTUD2
Protein_EFTUD2,Protein_HNRNPH1
Protein_EFTUD2,Protein_MAP7
Protein_EFTUD2,Protein_NFIC
Protein_EFTUD2,Protein_P4HB
Protein_EFTUD2,Protein_PPP1CB
Protein_EFTUD2,Protein_PPWD1
Protein_EFTUD2,Protein_PRPF31
Protein_EFTUD2,Protein_RANBP9
Protein_EFTUD2,Protein_RNF4
Protein_EFTUD2,Protein_SDCBP
Protein_EFTUD2,Protein_SMARCA5
Protein_EFTUD2,Protein_SRPK2
Protein_EFTUD2,Protein_TOP2A
Protein_EFTUD2,Protein_TRIP6
Protein_EFTUD2,Protein_TUBG1
Protein_EFTUD2,Protein_YWHAE
Protein_EFTUD2,Protein_ZC3H18
Protein_TSEN15,Protein_KRAS
Protein_TSEN15,Protein_LMNB2
Protein_TSEN15,Protein_RANGRF
Protein_NAE1,Protein_KRAS
Protein_NAE1,Protein_LMNB2
Protein_NAE1,Protein_PDIA4
Protein_NAE1,Protein_PPP1R2
Protein_RNF4,Protein_ARL6IP5
Protein_RNF4,Protein_CALR
Protein_RNF4,Protein_CD47
Protein_RNF4,Protein_CHD4
Protein_RNF4,Protein_DDX39B
Protein_RNF4,Protein_HSD17B11
Protein_RNF4,Protein_ITGB1
Protein_RNF4,Protein_LMNB2
Protein_RNF4,Protein_NUS1
Protein_RNF4,Protein_P4HB
Protein_RNF4,Protein_PDIA4
Protein_RNF4,Protein_RNF4
Protein_RNF4,Protein_SRPK2
Protein_RNF4,Protein_SURF4
Protein_RNF4,Protein_THAP1
Protein_RNF4,Protein_TMEM106B
Protein_RNF4,Protein_TOP2A
Protein_SPATC1L,Protein_NXF1
Protein_SPATC1L,Protein_PPP1CB
Protein_SPATC1L,Protein_SIAH1
Protein_SPATC1L,Protein_SPATC1L
Protein_TRIP6,Protein_LMNB2
Protein_TRIP6,Protein_P4HB
Protein_TRIP6,Protein_NR3C1
Protein_TRIP6,Protein_RNF31
Protein_TRIP6,Protein_ADAMTSL4
Protein_EFHC2,Protein_LMNB2
Protein_EFHC2,Protein_NR3C1
Protein_EFHC2,Protein_RANBP9
Protein_NAA16,Protein_CDCA5
Protein_NAA16,Protein_TCEA1
Protein_PPP1R2,Protein_PDIA4
Protein_PPP1R2,Protein_YWHAE
Protein_PPP1R2,Protein_PPP1CB
Protein_PPP1R2,Protein_TNFAIP8
Protein_DDX39B,Protein_NXF1
Protein_DDX39B,Protein_CDC5L
Protein_DDX39B,Protein_CHD4
Protein_DDX39B,Protein_CALR
Protein_DDX39B,Protein_DDX39B
Protein_DDX39B,Protein_HNRNPH1
Protein_DDX39B,Protein_KIF20A
Protein_DDX39B,Protein_P4HB
Protein_DDX39B,Protein_PDIA4
Protein_DDX39B,Protein_RBBP4
Protein_DDX39B,Protein_SDCBP
Protein_DDX39B,Protein_SMAD4
Protein_DDX39B,Protein_SRPK2
Protein_DDX39B,Protein_ZBTB2
Protein_DCK,Protein_PDIA4
Protein_DCK,Protein_DCK
Protein_MBD2,Protein_CHD4
Protein_MBD2,Protein_RBBP4
Protein_MBD2,Protein_CDCA5
Protein_MBD2,Protein_SMARCA5
Protein_MBD2,Protein_ARID4B
Protein_MBD2,Protein_BCL11A
Protein_MBD2,Protein_MBD2
Protein_PHF1,Protein_RBBP4
Protein_PHF1,Protein_BCL11A
Protein_PHF1,Protein_AEBP2
Protein_PHF1,Protein_ARID4B
Protein_PHF1,Protein_LCOR
Protein_PHF1,Protein_PHF1
Protein_PHF1,Protein_THAP1
Protein_GNMT,Protein_TERF1
Protein_GNMT,Protein_ADAMTSL4
Protein_GNMT,Protein_SDCBP
Protein_GNMT,Protein_GNMT
Protein_KIF20A,Protein_LMNB2
Protein_KIF20A,Protein_AURKB
Protein_KIF20A,Protein_TOP2A
Protein_KIF20A,Protein_ADAMTSL4
Protein_KIF20A,Protein_CDCA5
Protein_KIF20A,Protein_DCTN1
Protein_KIF20A,Protein_PRC1
Protein_KIF20A,Protein_SKA1
Protein_RANBP9,Protein_KRAS
Protein_RANBP9,Protein_LMNB2
Protein_RANBP9,Protein_DCTN1
Protein_RANBP9,Protein_NR3C1
Protein_RANBP9,Protein_ITGB1
Protein_RANBP9,Protein_MED4
Protein_RANBP9,Protein_PRPF31
Protein_RANBP9,Protein_RANBP9
Protein_B2M,Protein_CALR
Protein_B2M,Protein_B2M
Protein_B2M,Protein_RANGRF
Protein_B2M,Protein_TMEM106B
Protein_DCTN1,Protein_NXF1
Protein_DCTN1,Protein_AURKB
Protein_DCTN1,Protein_PRC1
Protein_DCTN1,Protein_DCTN1
Protein_DCTN1,Protein_MAP7
Protein_DCTN1,Protein_NR3C1
Protein_DCTN1,Protein_SEC16A
Protein_DCTN1,Protein_SKA1
Protein_LCOR,Protein_RBBP4
Protein_LCOR,Protein_AEBP2
Protein_CD47,Protein_CALR
Protein_CD47,Protein_ITGB1
Protein_CD47,Protein_PRR13
Protein_CD47,Protein_TMEM128
Protein_THAP1,Protein_LMNB2
Protein_THAP1,Protein_CDC5L
Protein_THAP1,Protein_AEBP2
Protein_THAP1,Protein_THAP1
Protein_TERF1,Protein_SEC16A
Protein_TERF1,Protein_MAP7
Protein_TERF1,Protein_TERF1
Protein_TERF1,Protein_ZC3H18
Protein_ZC3H18,Protein_KRAS
Protein_ZC3H18,Protein_LMNB2
Protein_ZC3H18,Protein_NXF1
Protein_ZC3H18,Protein_CDC5L
Protein_ZC3H18,Protein_CHD4
Protein_ZC3H18,Protein_SRPK2
Protein_ZC3H18,Protein_CTR9
Protein_ZC3H18,Protein_BRI3BP
Protein_TOP2A,Protein_LMNB2
Protein_TOP2A,Protein_AURKB
Protein_TOP2A,Protein_CDC5L
Protein_TOP2A,Protein_CHD4
Protein_TOP2A,Protein_CDCA5
Protein_TOP2A,Protein_PRC1
Protein_TOP2A,Protein_RBBP4
Protein_TOP2A,Protein_SKA1
Protein_TOP2A,Protein_YWHAE
Protein_SDCBP,Protein_MED4
Protein_SDCBP,Protein_SIAH1
Protein_SDCBP,Protein_TNFAIP8
Protein_SDCBP,Protein_PRR13
Protein_CCDC91,Protein_CCDC91
Protein_CDC5L,Protein_KRAS
Protein_CDC5L,Protein_AURKB
Protein_CDC5L,Protein_CDC5L
Protein_CDC5L,Protein_CHD4
Protein_CDC5L,Protein_HNRNPH1
Protein_CDC5L,Protein_LGALS3
Protein_CDC5L,Protein_MAP7
Protein_CDC5L,Protein_PPWD1
Protein_CDC5L,Protein_PRPF31
Protein_CDC5L,Protein_RBBP4
Protein_CDC5L,Protein_SMARCA5
Protein_CDC5L,Protein_SRPK2
Protein_CDC5L,Protein_TUBG1
Protein_CDC5L,Protein_YWHAE
Protein_NUS1,Protein_TCTN3
Protein_NUS1,Protein_FNTA
Protein_P4HB,Protein_AURKB
Protein_P4HB,Protein_PDIA4
Protein_P4HB,Protein_CALR
Protein_P4HB,Protein_P4HB
Protein_P4HB,Protein_SURF4
Protein_P4HB,Protein_TCTN3
Protein_P4HB,Protein_ZBTB2
Protein_CD79A,Protein_AURKB
Protein_CD79A,Protein_TMEM128
Protein_ADAMTSL4,Protein_RNF31
Protein_ADAMTSL4,Protein_ADAMTSL4
Protein_ADAMTSL4,Protein_THAP6
Protein_CDCA5,Protein_AURKB
Protein_CDCA5,Protein_PRC1
Protein_CDCA5,Protein_CDCA5
Protein_CDCA5,Protein_SKA1
Protein_PPWD1,Protein_BRI3BP
Protein_TGFB3,Protein_ITGB1
Protein_TGFB3,Protein_SMAD4
Protein_TGFB3,Protein_PDPK1
Protein_KBTBD7,Protein_MAP7
Protein_KBTBD7,Protein_AEBP2
Protein_BCL11A,Protein_CHD4
Protein_BCL11A,Protein_RBBP4
Protein_BCL11A,Protein_SMARCA5
Protein_BCL11A,Protein_ARID4B
Protein_BCL11A,Protein_BCL11A
Protein_BCL11A,Protein_ZBTB2
Protein_PRC1,Protein_LMNB2
Protein_PRC1,Protein_AURKB
Protein_PRC1,Protein_YWHAE
Protein_HNRNPH1,Protein_LMNB2
Protein_HNRNPH1,Protein_CHD4
Protein_HNRNPH1,Protein_RNF31
Protein_PPP1CB,Protein_CHD4
Protein_PPP1CB,Protein_RASSF5
Protein_PPP1CB,Protein_SEC16A
Protein_AEBP2,Protein_RBBP4
Protein_ZBTB2,Protein_AURKB
Protein_TMEM128,Protein_ARL6IP5
Protein_NXF1,Protein_KRAS
Protein_NXF1,Protein_CTR9
Protein_NXF1,Protein_MED4
Protein_NXF1,Protein_NXF1
Protein_NXF1,Protein_SRPK2
Protein_NXF1,Protein_SURF4
Protein_NXF1,Protein_TCTN3
Protein_LGALS3,Protein_KRAS
Protein_LGALS3,Protein_ITGB1
Protein_LGALS3,Protein_LGALS3
Protein_LGALS3,Protein_PRR13
Protein_CHD4,Protein_ARID4B
Protein_CHD4,Protein_CHD4
Protein_CHD4,Protein_CTR9
Protein_CHD4,Protein_PRPF31
Protein_CHD4,Protein_RBBP4
Protein_CHD4,Protein_SMARCA5
Protein_PDPK1,Protein_KRAS
Protein_PDPK1,Protein_PDPK1
Protein_MAP7,Protein_SEC16A
Protein_MAP7,Protein_SRPK2
Protein_TMEM106B,Protein_CALR
Protein_TMEM106B,Protein_BRI3BP
Protein_HSD17B11,Protein_LMNB2
Protein_HSD17B11,Protein_BRI3BP
Protein_HSD17B11,Protein_ARL6IP5
Protein_PDIA4,Protein_BRI3BP
Protein_PDIA4,Protein_CALR
Protein_PDIA4,Protein_SURF4
Protein_PDIA4,Protein_TCTN3
Protein_PDIA4,Protein_YWHAE
Protein_SRPK2,Protein_KRAS
Protein_SRPK2,Protein_SRPK2
Protein_CALR,Protein_KRAS
Protein_CALR,Protein_YWHAE
Protein_CALR,Protein_CALR
Protein_CALR,Protein_NR3C1
Protein_CALR,Protein_TCTN3
Protein_ARID4B,Protein_RBBP4
Protein_ARID4B,Protein_SMARCA5
Protein_ARID4B,Protein_NR3C1
Protein_NFIC,Protein_LMNB2
Protein_NFIC,Protein_CTR9
Protein_RNF31,Protein_YWHAE
Protein_RNF31,Protein_SEC16A
Protein_RNF31,Protein_RNF31
Protein_TCEA1,Protein_KRAS
Protein_TCEA1,Protein_CTR9
Protein_TCEA1,Protein_MED4
Protein_CTR9,Protein_PRPF31
Protein_ARL6IP5,Protein_KRAS
Protein_ARL6IP5,Protein_LMNB2
Protein_ARL6IP5,Protein_TCTN3
Protein_BRI3BP,Protein_TCTN3
Protein_SMARCA5,Protein_RBBP4
Protein_SMARCA5,Protein_SMARCA5
Protein_CUBN,Protein_CUBN
Protein_AURKB,Protein_KRAS
Protein_AURKB,Protein_AURKB
Protein_AURKB,Protein_SEC16A
Protein_AURKB,Protein_SKA1
Protein_AURKB,Protein_SURF4
Protein_NR3C1,Protein_NR3C1
Protein_NR3C1,Protein_SMAD4
Protein_PRPF31,Protein_KRAS
Protein_PRPF31,Protein_PRPF31
Protein_PRPF31,Protein_SIAH1
Protein_TUBG1,Protein_LMNB2
Protein_TUBG1,Protein_SEC16A
Protein_TUBG1,Protein_TUBG1
Protein_SURF4,Protein_SEC16A
Protein_SURF4,Protein_TCTN3
Protein_SMAD4,Protein_KRAS
Protein_SMAD4,Protein_RBBP4
Protein_SMAD4,Protein_RASSF5
Protein_SMAD4,Protein_SMAD4
Protein_YWHAE,Protein_KRAS
Protein_YWHAE,Protein_TNFAIP8
Protein_RASSF5,Protein_KRAS
Protein_RASSF5,Protein_ITGB1
Protein_RASSF5,Protein_RASSF5
Protein_ITGB1,Protein_KRAS
Protein_ITGB1,Protein_TCTN3
Protein_FNTA,Protein_KRAS
Protein_FNTA,Protein_LMNB2
Protein_LMNB2,Protein_LMNB2
Protein_MED4,Protein_KRAS
Protein_MED4,Protein_SKA1
Protein_MED4,Protein_TNFAIP8
Protein_SIAH1,Protein_SIAH1
Protein_PRR13,Protein_TNFAIP8
Protein_PRR13,Protein_PRR13
Protein_RBBP4,Protein_RBBP4
Protein_KRAS,Protein_KRAS
