protein,protein_name,num_biomarkers,biomarkers,biomarker_names
Protein_ILF3,ILF3,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_CCNH,CCNH,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_ZC3H18,ZC3H18,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_TCEA1,TCEA1,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_TSEN15,TSEN15,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_HSD17B11,HSD17B11,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_TNFAIP8,TNFAIP8,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_SMC1A,SMC1A,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_SUPT5H,SUPT5H,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_SIAH1,SIAH1,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_TCTN3,TCTN3,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_NXF1,NXF1,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_TUBG1,TUBG1,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_RNF31,RNF31,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_VAC14,VAC14,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_PRCP,PRCP,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_RTN4,RTN4,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_GRB2,GRB2,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_THAP6,THAP6,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_REEP5,REEP5,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_ANKRA2,ANKRA2,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_PPP1R2,PPP1R2,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_CLK1,CLK1,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
Protein_TRIP6,TRIP6,28,"Protein_ADAMTSL4,Protein_AEBP2,Protein_BRI3BP,Protein_CCDC91,Protein_CDCA5,Protein_CTR9,Protein_CUBN,Protein_ERBIN,Protein_GNMT,Protein_LEPR,Protein_LMNB2,Protein_MAP7,Protein_MBD2,Protein_NAA16,Protein_NUS1,Protein_PDE7A,Protein_PDIA4,Protein_PLAA,Protein_PRR13,Protein_RANBP9,Protein_RANGRF,Protein_RASSF5,Protein_RIOX2,Protein_SPATC1L,Protein_TGFB3,Protein_TMEM128,Protein_TRAK1,Protein_ZBTB2","ADAMTSL4,AEBP2,BRI3BP,CCDC91,CDCA5,CTR9,CUBN,ERBIN,GNMT,LEPR,LMNB2,MAP7,MBD2,NAA16,NUS1,PDE7A,PDIA4,PLAA,PRR13,RANBP9,RANGRF,RASSF5,RIOX2,SPATC1L,TGFB3,TMEM128,TRAK1,ZBTB2"
