protein_name,han_patient_count
ACTB,6
FLI1,6
HPS6,6
HEBP2,6
GNG2,6
GMCL1,6
GCHFR,6
PGAP2,6
FBXO8,6
ACAP2,6
FBXO38,6
ELOVL5,6
DUSP11,6
DHRS7,6
COMMD5,6
CNIH1,6
IMPA1,6
KCTD5,6
CERS6,6
LILRA2,6
LMBRD1,6
MAN2A1,6
MGST3,6
PNPLA8,6
PPM1A,6
RAB22A,6
RABEPK,6
RASGRP2,6
DSTYK,6
RNASE2,6
RNASE3,6
RNF145,6
RNF24,6
CERK,6
CD164,6
RPGR,6
RASSF5,6
ACSS1,6
PKMYT1,6
FASTK,6
ADAM10,6
DCK,6
GABPA,6
STXBP3,6
CCNI,6
OSGIN1,6
AGPAT1,6
ACBD5,6
TSNAX,6
MTHFD1L,6
RECQL,6
CASP6,6
WHAMM,6
ING2,6
MADD,6
COMMD8,6
RPP25,6
PDGFA,6
CDCA5,6
ADORA2A,6
ARPP19,6
ATXN7L3,6
AZIN1,6
BRSK1,6
BSDC1,6
TSEN15,6
TMEM230,6
DNPH1,6
RNF38,6
RPS19BP1,6
ETV5,6
CDC42BPB,6
KRIT1,6
CPEB3,6
COL7A1,6
BACH1,6
SAMSN1,6
TMEM214,6
CCDC57,6
PAK1IP1,6
UQCC2,6
ZBTB2,6
ANKZF1,6
TAF1D,6
TRMT61B,6
ANXA4,6
KDM5C,6
MTR,6
TXNDC11,6
FAM174A,6
CRTC1,6
FMNL1,6
PRNP,6
ZFYVE27,6
MPI,6
KLRD1,6
KIR2DL1,6
GBA2,6
GAD1,6
CCR5,6
HERC6,6
RMI2,6
ANKRD10,6
ACAD8,6
SFXN4,6
SEC22C,6
TMEM160,6
ZFP36L1,6
ZFAND6,6
WDR20,6
VAMP5,6
TMUB2,6
SARAF,6
TMEM147,6
INTS1,6
TLR1,6
THUMPD1,6
MIEF1,6
SLC15A4,6
SH3BP1,6
SERP1,6
ZFP36L2,6
ZMIZ1,6
STIL,6
MICALL1,6
PSEN2,6
LYPLA1,6
PHF1,6
PRKD2,6
ZBTB11,6
PTGDS,6
MYOM2,6
REC8,6
SKA1,6
TRAK1,6
LIN7C,6
SGTB,6
SCAF8,6
SLC30A5,6
C19ORF25,6
ATF1,6
VAMP1,6
KIR2DL3,6
NUDCD3,6
TRIM23,6
TMSB4X,6
ARHGAP12,6
ZNFX1,6
USP33,6
SCD,6
UGP2,6
TUBGCP2,6
TRMT1,6
TRAF3IP3,6
TMEM43,6
SP110,6
RNF185,6
VPS13C,6
LONP1,6
RGPD2,6
CDCA2,6
RPS3A,6
TRIM24,6
EPHX2,6
PHF3,6
SAP30BP,6
GPT2,6
TTLL12,6
MOGS,6
CD19,6
MUC1,6
PRR13,6
MED29,6
SMAP1,6
SBDS,6
MIA3,6
AKAP7,6
CMPK1,6
CDC26,6
ARID4A,6
APH1A,6
APEH,6
AMD1,6
AFTPH,6
PPP6R3,6
ADNP,6
ACSL1,6
TGFB3,6
PPP2R3A,6
PRPF18,6
PPP1R15B,6
CNBP,6
CNDP2,6
FCGR3B,6
GIMAP1,6
GOLGA3,6
INSIG1,6
ITPK1,6
MAP3K11,6
MAPKAPK5,6
MEX3C,6
NAMPT,6
NFIC,6
PPM1D,6
RAB3GAP1,6
RNF126,6
PTBP3,6
RTN3,6
CRADD,6
PRKAG2,6
CAND2,6
RAPGEF6,6
SRXN1,6
SPOPL,6
SP3,6
CAPN15,6
RSU1,6
RASGRP1,6
PRPSAP2,6
MTMR6,6
PPP1R2,6
PPCS,6
PNRC2,6
PAIP2,6
OSBPL8,6
NPTN,6
TMEM126A,6
TRIOBP,6
VPS13B,6
WAC,6
ZCCHC9,6
ZNF746,6
HMMR,6
CNN2,6
KMT2E,6
FEZ1,6
STK11IP,6
ZBTB14,6
PHYH,6
SFR1,6
MELK,6
NR1D2,6
TNFAIP8,6
NOSIP,6
MRPL23,6
VPS41,6
MPLKIP,6
COMMD9,6
CLIP1,6
CD47,6
CD46,6
CCNG2,6
CCNG1,6
TMEM259,6
LGALS9,6
MPC1,6
BLOC1S1,6
BAG5,6
ATPAF1,6
ACVR1,6
MAPK6,6
CRTAP,6
DAZAP2,6
DPP9,6
DUSP3,6
EFHC2,6
FBXO7,6
FCHO2,6
GCA,6
GPBP1L1,6
IER3IP1,6
IFRD1,6
KDM3A,6
JMJD1C,6
KBTBD7,6
KLHL24,6
LAPTM5,6
CERS2,6
ARL6IP6,6
ARRDC2,6
ASB8,6
MEGF9,6
NABP1,6
NUB1,6
MYADM,6
MTF1,6
MRTFA,6
MZB1,6
MARCHF7,6
NPIPB3,6
MARCHF6,6
MANSC1,6
MANBAL,6
MAN2B2,6
LY6E,6
ERAP2,6
P2RY13,6
PCMTD1,6
PGLYRP1,6
PHF23,6
PPP1R14B,6
PRCP,6
PRICKLE4,6
RERE,6
RNF44,6
SELENOT,6
SEPTIN2,6
SEPTIN7,6
SIPA1,6
SLC25A44,6
SLC35B1,6
SLPI,6
PPP4R3B,6
C2ORF68,6
LEPROTL1,6
SYPL1,6
DARS1,6
FAM111A,6
RAMAC,6
ELF1,6
MICU2,6
E4F1,6
DNAJB14,6
CYB5R4,6
LCOR,6
CTDSP2,6
COQ10B,6
CLPTM1L,6
CLPTM1,6
CHKB,6
CDC42SE2,6
HYCC2,6
TENT5A,6
CYRIB,6
FBXO46,6
FYB1,6
H1-0,6
H1-10,6
H2AJ,6
HECA,6
HHEX,6
H4C3,6
IDS,6
KCTD20,6
ATOSA,6
KLHDC2,6
KLRF1,6
KRCC1,6
SUSD1,6
TBC1D2B,6
ASTE1,6
KIR2DL4,6
THEMIS,6
GIMAP7,6
TMEM106B,6
GAP43,6
PDE1B,6
HLA-DOB,6
SETBP1,6
AMDHD2,6
PIGS,6
RNF26,6
SULT1A3,6
DEAF1,6
MSANTD3,6
B3GALT6,6
BTLA,6
IGSF8,6
NAA16,6
LRFN4,6
SLC22A16,6
ABCD1,6
DMXL1,6
GRIN3A,6
GOLPH3L,6
LEPR,6
AEBP2,6
THOP1,6
ZFAND1,6
ARL4A,6
NAE1,6
ITM2A,6
C1GALT1,6
LYPLA2,6
TCTN3,6
TMEM154,6
UTY,6
CCDC15,6
CCDC90B,6
C6ORF62,6
GSDMB,6
JOSD2,6
GHDC,6
RHOT2,6
ARRDC3,6
WARS1,6
VNN2,6
USP38,6
TTYH3,6
TMEM71,6
TMEM219,6
TBRG4,6
NFE2L1,6
ZNF721,6
C21ORF91,6
AUNIP,6
TMEM128,6
TSPAN2,6
PLEKHA3,6
ELMOD3,6
SLC39A6,6
ITM2B,6
RALGPS2,6
SACS,6
SLC35F5,6
CEP85L,6
GRIPAP1,6
ODF2,6
INTS15,6
ABRACL,6
MICOS13,6
POLR3GL,6
RAB33B,6
RAB24,6
PTGER4,6
PTDSS1,6
CYTIP,6
PRDM4,6
POLR2J3,6
AP5M1,6
PLXNC1,6
PELI2,6
PCNP,6
PAPSS1,6
OSGIN2,6
OSBPL11,6
RAB37,6
RDH11,6
COP1,6
RGS18,6
RHOT1,6
RPS6KA4,6
RSBN1L,6
SCAND1,6
SCARB2,6
SDHAF1,6
SENP7,6
SH2D1A,6
SLC40A1,6
SNX10,6
STARD7,6
TATDN2,6
TM6SF1,6
OGFR,6
MGAT1,6
CYBC1,6
CD300LF,6
DENND3,6
DDT,6
CTSZ,6
CRLF3,6
CREB3L2,6
CISD1,6
CBLL1,6
ME2,6
FAM13B,6
RSRP1,6
SWSAP1,6
BOLA2B,6
BIN2,6
BFAR,6
DGCR2,6
DPM3,6
ECHDC1,6
ERGIC2,6
EVI2A,6
ABHD17B,6
DENND6B,6
FAM162A,6
FASTKD5,6
FBXL3,6
GNG10,6
HSD17B11,6
TMEM208,6
KBTBD2,6
ZSWIM8,6
LYPLAL1,6
MAP3K8,6
TMBIM1,6
TMEM14B,6
TRAFD1,6
GNGT2,6
DGKA,6
APOBEC3F,6
DAPP1,6
PLBD2,6
CXCL1,6
VAC14,6
CCDC88B,6
TSPYL1,6
SPATC1L,6
CAPN7,6
TVP23B,6
MPDU1,6
KIFC1,6
NABP2,6
MASTL,6
PIDD1,6
CDC14A,6
NUS1,6
NCF4,6
UNC13D,6
CEP164,6
PDCL,6
ADIPOR2,6
AMY1A,6
ANKRD12,6
ATP11B,6
ATP5F1D,6
DMAC2,6
BTBD10,6
RESF1,6
JKAMP,6
SPSB1,6
REPS2,6
GNMT,6
CCZ1B,6
UBLCP1,6
ZFAND5,6
ZNF277,6
ZNF324,6
ZNF493,6
NUDCD2,6
PDE3B,6
BEGAIN,6
PRDM1,6
USP6,6
RANGRF,6
SCAF1,6
MAP7D3,6
RADIL,6
STAB1,6
TNFAIP8L1,6
SLC35B2,6
AUH,6
LIG4,6
PPP1R7,6
HAUS8,6
IKBIP,6
SLC38A10,6
EAPP,6
NCDN,6
ARMC7,6
FGF13,6
PUSL1,6
ZMYM5,6
ADAMTSL4,6
RPS6KB2,6
ATN1,6
MED24,6
PPP3CA,6
HNRNPH3,6
SUCLG1,6
STX7,6
SNAP23,6
SDCBP,6
RIPK1,6
OGDH,6
NF1,6
NDUFB7,6
NCOR2,6
LSM7,6
ISY1,6
HEATR1,6
DCAF7,6
CSTF2,6
NDUFV3,6
ANKFY1,6
DSTN,6
PAK1,6
PABPN1,6
NDUFV2,6
NDUFA13,6
MARK2,6
IFIT3,6
DDX1,6
SNIP1,6
CNOT7,6
CHMP1A,6
C18ORF32,6
IL2RG,6
PDPK1,6
UQCR10,6
CHMP1B,6
MRPS12,6
IRF7,6
LGALS3,6
PAK2,6
P4HB,6
MRPS15,6
MRPL21,6
MORF4L1,6
MAX,6
KPNA6,6
MRPL19,6
HMGB1,6
DCP1A,6
CAMLG,6
SLIRP,6
MRPL2,6
EIF4E,6
POLR2C,6
PPP1R12A,6
PTPRC,6
SAR1A,6
SRPK2,6
STX12,6
SUCLG2,6
TPM3,6
TRIM21,6
UFM1,6
ATG5,6
U2AF1,6
SMARCA5,6
PSMC6,6
RBM4,6
PICALM,6
DDX27,6
PRKAR1A,6
SUPT5H,6
UBE2V2,6
TAB2,6
RAD21,6
PTK2B,6
PRKCB,6
MOB4,6
PAICS,6
MRPS24,6
IRF2,6
ACOX1,6
GORASP1,6
ETS1,6
DR1,6
DNM2,6
TRAPPC11,6
ATP2B1,6
RNF40,6
RTN4,6
SRSF11,6
SRP68,6
STX10,6
SURF4,6
THOC2,6
TDP2,6
UQCRH,6
DAXX,6
MOV10,6
TUBG1,6
ABCF1,6
FGFR1OP2,6
MRPS25,6
EIF1AX,6
MRRF,6
ASAP1,6
NMD3,6
USP10,6
CCNH,6
LSM6,6
KTN1,6
GART,6
DLD,6
CNOT8,6
CHMP2B,6
BAX,6
XAF1,6
ANP32A,6
CSNK1A1,6
USP14,6
TRIP6,6
PDIA4,6
HYOU1,6
MTA2,6
NPLOC4,6
PMAIP1,6
SIAH1,6
STRAP,6
UNC45A,6
VPS26A,6
LMNB2,6
ISG15,6
DHX30,6
WDR46,6
CTR9,6
ATP2A2,6
WDR77,6
IDH2,6
TCEA1,6
BCR,6
AURKB,6
NUDT21,6
SH3KBP1,6
CDKN1B,6
SMARCC2,6
BCAS2,6
CAPZA1,6
HNRNPH1,6
ITGB1,6
G3BP1,6
PIK3R1,6
ILF3,6
UBE2D3,6
RNPS1,6
PTBP1,6
MCM7,6
NCBP2,6
FYN,6
ACTR3,6
NXF1,6
PKM,6
SKP2,6
SUPT16H,6
PPP1CB,6
SF1,6
PML,6
MRPS5,6
CUL4A,6
EIF3A,6
FAU,6
RPS21,6
PTGES3,6
SMAD4,6
SUMO2,6
YWHAQ,6
TCP1,6
CLTC,6
ADAR,6
RPS9,6
RPL10A,6
MYC,6
GAPDH,6
SRSF3,6
SF3B1,6
CDC42,6
RBBP4,6
PCBP1,6
MAPK1,6
GRB2,6
PABPC1,6
EFTUD2,6
SRSF1,6
CTNNB1,6
SRRM2,6
YWHAE,6
RPS7,6
HNRNPC,6
YBX1,6
SNW1,6
UBE2D1,6
SUMO1,6
ACTG1,6
DDX39B,6
HIF1A,6
PRPF31,6
STAT1,6
TRAF2,6
SNRNP70,6
RPS15,6
CDC5L,6
AP2A2,6
CHD4,6
SIN3B,6
CDK9,6
RPA2,6
PLEKHF2,6
MRPL27,6
GDI1,6
DDX17,6
DDX23,6
UTP14A,6
CAT,6
ZC3H18,6
TPI1,6
SLC3A2,6
RAB5A,6
POLDIP3,6
MCL1,6
SEC16A,6
STAT5A,6
UBE2C,6
UQCRQ,6
HNRNPH2,6
EEF1B2,6
CREB1,6
B2M,6
BARD1,6
COX5B,6
EIF2AK2,6
EIF3M,6
IRF1,6
NME1,6
NUP214,6
PRDX6,6
RAB11A,6
CSE1L,6
CALR,6
KRAS,6
PPP2CB,6
IKBKB,6
MCM4,6
UQCRC1,6
UBA1,6
TUBA4A,6
SNRPC,6
CTNNBL1,6
CASP8,6
ACTN4,6
TOP2A,6
BCLAF1,6
SHC1,6
RPLP1,6
MRPL11,6
ACIN1,6
BECN1,6
BUD31,6
EEF1D,6
DCTN1,6
NR3C1,6
MCM2,6
ATP1A1,6
NCK1,6
PDCD6,6
RUNX2,6
SEC24B,6
SF3B5,6
YY1,6
SMC1A,6
MRPL12,6
LRPPRC,6
FCGR2A,6
PTMA,6
ARPC5,6
ATG4B,6
TXNL1,6
TRIM26,6
TOPBP1,6
TMED7,6
TIA1,6
SMG7,6
SAFB2,6
ROCK1,6
RNF181,6
RBM23,6
PRDX3,6
PPP2R2B,6
PLEK,6
PDCD10,6
PARP12,6
UBE2G1,6
VPS37A,6
ZFR,6
NRG1,6
SUCO,6
GBF1,6
RPS6KA3,6
TROAP,6
RABL6,6
BAZ1B,6
WTAP,6
PCGF6,6
DTNBP1,6
EXOC8,6
TERF1,6
TAF2,6
THAP1,6
STMN1,6
METAP2,6
PAM16,6
LMF2,6
NUP188,6
ARFIP1,6
AGGF1,6
ADD3,6
ACADVL,6
AASDHPPT,6
PREB,6
KIF20A,6
BTF3L4,6
ZFYVE19,6
ADRM1,6
ATG3,6
HSD17B10,6
CD79A,6
MAP7,6
ATP6V1F,6
BTG1,6
KANSL1,6
EXOC7,6
ASH2L,6
ING1,6
HK2,6
HBA2,6
GUSB,6
FNTA,6
EVI2B,6
CALM3,6
EIF1B,6
EDF1,6
DRAP1,6
DNAJB6,6
DEDD,6
CLASP1,6
AP1S1,6
VPS18,6
SREK1,6
PRC1,6
NAA50,6
ZNF217,6
ZNF185,6
USF1,6
UNC119,6
TOPORS,6
TNPO3,6
TMUB1,6
CNEP1R1,6
SSH1,6
SPAST,6
SLTM,6
SDHD,6
SCYL1,6
SAP30L,6
MBD2,6
AKAP8L,6
MAPRE3,6
TK1,6
NFKB2,6
CD3G,6
RAD51D,6
CD22,6
EXOC3,6
VRK3,6
BRI3BP,6
TYSND1,6
AKAP13,6
ABAT,6
PHAX,6
PPHLN1,6
RBM7,6
CD9,6
SAMD9L,6
SACM1L,6
RNF216,6
CDK5RAP3,6
F11R,6
EGLN2,6
EAF1,6
DDRGK1,6
CLOCK,6
CLK1,6
CAST,6
HAL,6
ATG101,6
ARFGEF1,6
AP3B1,6
AKR1A1,6
CDCA8,6
NUP54,6
GMPPA,6
HINT1,6
RHOB,6
PTGS2,6
RHEB,6
REEP5,6
RCN2,6
RABGAP1,6
RAB11FIP1,6
PTTG1,6
PGRMC1,6
LBR,6
NFIL3,6
STK26,6
MRFAP1L1,6
MKRN2,6
MED28,6
LIMS1,6
DYNC1LI1,6
IQGAP2,6
GABARAPL2,6
ZFP36,6
RRBP1,6
SLBP,6
RNF31,6
SPI1,6
STAT2,6
SYF2,6
MED15,6
TAF4,6
TRAPPC5,6
COPG1,6
TRIM41,6
TNRC6A,6
WIPF1,6
UTP3,6
PPWD1,6
FKBP2,6
VPS4A,6
MCFD2,6
SVIL,6
RAP1B,6
TOP3A,6
UBE2W,6
TFPT,6
GTSE1,6
ISOC1,6
MCM10,6
UBTF,6
EIF4G2,6
RANBP9,6
FARSA,6
RABAC1,6
PTPN12,6
TXNDC9,6
MRPL28,6
ARID4B,6
ARL6IP4,6
ROMO1,6
CD14,6
CEBPZ,6
CIR1,6
COX6A1,6
CRBN,6
DCTN6,6
DCAF6,6
DCTN5,6
MRPL55,6
DECR1,6
ARHGEF1,6
GNA13,6
PEX5,6
GOLPH3,6
ID2,6
IDH1,6
NAA38,6
MBP,6
PSME1,6
THOC6,6
BAG4,6
MED4,6
MRPL14,6
MYCBP2,6
SMC2,6
MYO9B,6
NUP50,6
MPHOSPH10,6
TANK,6
POLR2I,6
KAT6A,6
PSIP1,6
INO80E,6
NUSAP1,6
PKN1,6
BLOC1S6,6
RAB9A,6
RBBP6,6
NDUFA11,6
RBL2,6
RNPC3,6
RTCA,6
NAP1L1,6
SMNDC1,6
INPP5D,6
TTC1,6
UBAP2L,6
ING3,6
USP5,6
FUBP3,6
HIP1R,6
EMG1,6
CTBP2,6
DYRK1A,6
COX7A2,6
COG3,6
BID,6
ATG9A,6
L3MBTL2,6
STAM2,6
NEDD9,6
GLYR1,6
FCGR3A,6
FRG1,6
RNF4,6
CKS2,6
AK2,6
AKAP11,6
ARL6IP5,6
ATP6AP2,6
ATXN1,6
BCL11A,6
BCL7C,6
ZNF830,6
DRG1,6
FBXW5,6
MTPN,6
STAMBP,6
AGTRAP,6
FTH1,6
PSME2,6
MRPL54,6
PSMB5,6
MED30,6
HIGD1A,6
KLHL2,6
LARP4B,6
RAB6A,6
IKBKE,6
RBM42,6
RRM2B,6
KATNBL1,5
MOSPD2,5
PARP6,5
PARP10,5
CENPM,5
SLC1A4,5
FAM170B,5
TC2N,5
ATP5ME,5
REEP4,5
DHRS1,5
RFX7,5
PCNX3,5
SLF2,5
LNPK,5
LENG8,5
PLAA,5
FAM133B,5
MIA2,5
WSB2,5
C8ORF82,5
CLSTN1,5
CLN3,5
AGPAT2,5
YBEY,5
ANKRA2,5
GSKIP,5
PRRC1,5
ARMH3,5
SP4,5
ADI1,5
TMEM62,5
SLC26A8,5
SLC41A3,5
TMEM101,5
SEPTIN6,4
TUT7,4
GET1,4
WDSUB1,4
TWSG1,4
SPATA13,4
C2ORF69,4
TAF8,4
APBB3,4
NNT,4
BORCS7,4
MFSD14A,4
UEVLD,4
RFK,4
PXMP2,4
TCN2,3
PDE7A,3
CENPT,3
OMA1,3
CUBN,3
SLC5A6,3
N4BP2L1,3
ZNF25,3
CGRRF1,3
TMF1,3
POU2AF1,3
HERPUD2,3
AVP,3
ARMH1,3
CD160,2
SP140,2
MPND,2
NT5DC2,2
ASB6,2
CHPF2,2
PLAGL1,2
MYO19,2
ZNF580,2
ARHGAP30,2
ARMT1,2
FAM234A,2
SERINC3,2
GOLM2,2
NRBP1,2
CD302,2
TTC33,2
HDHD2,2
CFAP44,1
ZNF589,1
BORCS6,1
ILRUN,1
CNGB1,1
SLC35C2,1
FUCA2,1
SPOUT1,1
TSPAN18,1
ZDHHC24,1
MLLT10,1
MYDGF,1
FAM156B,1
PLEKHA2,1
OGFRL1,1
GAS6,1
LYSMD3,1
TRPA1,1
PKIA,1
OR10Q1,1
NT5DC1,1
CXCL5,1
ARHGAP18,1
AKIRIN1,1
SLC25A36,1
MTMR12,1
IKZF5,1
POU2F2,1
ATMIN,1
ABITRAM,1
CCDC126,1
TMEM88,1
